match_date,home_team_id,away_team_id,home_goals,away_goals,tournament,city,country,is_neutral_venue,is_friendly
2021-06-11,Italy,Turkey,3,0,UEFA Euro,Rome,Italy,False,False
2021-06-12,Russia,Belgium,0,3,UEFA Euro,Saint Petersburg,Russia,False,False
2021-06-12,Denmark,Finland,0,1,UEFA Euro,Copenhagen,Denmark,False,False
2021-06-12,Wales,Switzerland,1,1,UEFA Euro,Cardiff,Wales,False,False
2021-06-13,England,Croatia,1,0,UEFA Euro,London,England,False,False
2021-06-13,Netherlands,Ukraine,3,2,UEFA Euro,Amsterdam,Netherlands,False,False
2021-06-13,Austria,North Macedonia,3,1,UEFA Euro,Bucharest,Romania,True,False
2021-06-14,Scotland,Czech Republic,0,2,UEFA Euro,Glasgow,Scotland,False,False
2021-06-14,Poland,Slovakia,1,2,UEFA Euro,Saint Petersburg,Russia,True,False
2021-06-14,Spain,Sweden,0,0,UEFA Euro,Seville,Spain,False,False
2021-06-15,Hungary,Portugal,0,3,UEFA Euro,Budapest,Hungary,False,False
2021-06-15,Germany,France,0,1,UEFA Euro,Munich,Germany,False,False
2021-06-16,Turkey,Wales,0,2,UEFA Euro,Baku,Azerbaijan,True,False
2021-06-16,Italy,Switzerland,3,0,UEFA Euro,Rome,Italy,False,False
2021-06-16,Russia,Finland,1,0,UEFA Euro,Saint Petersburg,Russia,False,False
2021-06-17,Denmark,Belgium,1,2,UEFA Euro,Copenhagen,Denmark,False,False
2021-06-17,Netherlands,Austria,2,0,UEFA Euro,Amsterdam,Netherlands,False,False
2021-06-17,Ukraine,North Macedonia,2,1,UEFA Euro,Bucharest,Romania,True,False
2021-06-18,Croatia,Czech Republic,1,1,UEFA Euro,Glasgow,Scotland,True,False
2021-06-18,England,Scotland,0,0,UEFA Euro,London,England,False,False
2021-06-18,Sweden,Slovakia,1,0,UEFA Euro,Saint Petersburg,Russia,True,False
2021-06-19,Spain,Poland,1,1,UEFA Euro,Seville,Spain,False,False
2021-06-19,Hungary,France,1,1,UEFA Euro,Budapest,Hungary,False,False
2021-06-19,Germany,Portugal,4,2,UEFA Euro,Munich,Germany,False,False
2021-06-20,Italy,Wales,1,0,UEFA Euro,Rome,Italy,False,False
2021-06-20,Switzerland,Turkey,3,1,UEFA Euro,Baku,Azerbaijan,True,False
2021-06-21,Denmark,Russia,4,1,UEFA Euro,Copenhagen,Denmark,False,False
2021-06-21,Finland,Belgium,0,2,UEFA Euro,Saint Petersburg,Russia,True,False
2021-06-21,Netherlands,North Macedonia,3,0,UEFA Euro,Amsterdam,Netherlands,False,False
2021-06-21,Ukraine,Austria,0,1,UEFA Euro,Bucharest,Romania,True,False
2021-06-22,Scotland,Croatia,1,3,UEFA Euro,Glasgow,Scotland,False,False
2021-06-22,England,Czech Republic,1,0,UEFA Euro,London,England,False,False
2021-06-23,Portugal,France,2,2,UEFA Euro,Budapest,Hungary,True,False
2021-06-23,Sweden,Poland,3,2,UEFA Euro,Saint Petersburg,Russia,True,False
2021-06-23,Spain,Slovakia,5,0,UEFA Euro,Seville,Spain,False,False
2021-06-23,Germany,Hungary,2,2,UEFA Euro,Munich,Germany,False,False
2021-06-26,Italy,Austria,2,1,UEFA Euro,London,England,True,False
2021-06-26,Wales,Denmark,0,4,UEFA Euro,Amsterdam,Netherlands,True,False
2021-06-27,Netherlands,Czech Republic,0,2,UEFA Euro,Budapest,Hungary,True,False
2021-06-27,Belgium,Portugal,1,0,UEFA Euro,Seville,Spain,True,False
2021-06-28,Croatia,Spain,3,5,UEFA Euro,Copenhagen,Denmark,True,False
2021-06-28,France,Switzerland,3,3,UEFA Euro,Bucharest,Romania,True,False
2021-06-29,England,Germany,2,0,UEFA Euro,London,England,False,False
2021-06-29,Sweden,Ukraine,1,2,UEFA Euro,Glasgow,Scotland,True,False
2021-07-02,Switzerland,Spain,1,1,UEFA Euro,Saint Petersburg,Russia,True,False
2021-07-02,Belgium,Italy,1,2,UEFA Euro,Munich,Germany,True,False
2021-07-03,Czech Republic,Denmark,1,2,UEFA Euro,Baku,Azerbaijan,True,False
2021-07-03,Ukraine,England,0,4,UEFA Euro,Rome,Italy,True,False
2021-07-06,Italy,Spain,1,1,UEFA Euro,London,England,True,False
2021-07-07,England,Denmark,2,1,UEFA Euro,London,England,False,False
2021-07-11,England,Italy,1,1,UEFA Euro,London,England,False,False
